Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Costa Rica,CRI,2020,YR2020,..,..,3.889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.472,..,..,..,..,..,21,..,..,1.1,5123105
Food Prices for Nutrition 2.0,FPN 2.0,Costa Rica,CRI,2021,YR2021,..,..,3.925,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.504,..,..,..,..,..,14.2,..,..,0.7,5153957
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,CIV,2017,YR2017,0.815,1.619,3.273,4.02,0.39,1.041,0.434,1.111,0.149,0.148,0.119,0.318,0.133,0.339,0.046,0.045,0.9,2.4,2.56,0.34,0.34,0.728,1.446,2.922,0.258,0.513,1.038,8.4,39.6,77.7,2.1,9.8,19.3,24848016
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,CIV,2018,YR2018,..,..,3.357,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.997,..,..,..,..,..,73.4,..,..,18.7,25493988
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,CIV,2019,YR2019,..,..,3.506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.13,..,..,..,..,..,72,..,..,18.8,26147551
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,CIV,2020,YR2020,..,..,3.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.223,..,..,..,..,..,72.8,..,..,19.5,26811790
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,CIV,2021,YR2021,..,..,3.909,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.49,..,..,..,..,..,72.9,..,..,20,27478249
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,HRV,2017,YR2017,0.663,3.211,4.168,6.29,0.95,1.138,0.496,0.955,0.556,0.073,0.228,0.273,0.119,0.229,0.133,0.018,1.92,2.29,1.93,1.12,0.15,0.592,2.867,3.721,0.077,0.371,0.481,0.3,3.3,6.2,0,0.1,0.3,4124531
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,HRV,2018,YR2018,..,..,4.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.768,..,..,..,..,..,4.1,..,..,0.2,4087843
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,HRV,2019,YR2019,..,..,4.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.815,..,..,..,..,..,3.4,..,..,0.1,4065253
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,HRV,2020,YR2020,..,..,4.301,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.84,..,..,..,..,..,3.3,..,..,0.1,4047680
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,HRV,2021,YR2021,..,..,4.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.83,..,..,..,..,..,1.8,..,..,0.1,3899000
Food Prices for Nutrition 2.0,FPN 2.0,Curacao,CUW,2017,YR2017,1.137,2.396,2.866,2.52,0.466,0.711,0.607,0.673,0.295,0.114,0.163,0.248,0.212,0.235,0.103,0.04,0.77,1.17,1.11,0.49,0.19,1.015,2.139,2.559,0.218,0.459,0.549,..,..,..,..,..,..,160175
Food Prices for Nutrition 2.0,FPN 2.0,Curacao,CUW,2018,YR2018,..,..,2.988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.668,..,..,..,..,..,..,..,..,..,159336
Food Prices for Nutrition 2.0,FPN 2.0,Curacao,CUW,2019,YR2019,..,..,3.144,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.807,..,..,..,..,..,..,..,..,..,157441
Food Prices for Nutrition 2.0,FPN 2.0,Curacao,CUW,2020,YR2020,..,..,3.236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.889,..,..,..,..,..,..,..,..,..,154947
Food Prices for Nutrition 2.0,FPN 2.0,Curacao,CUW,2021,YR2021,..,..,3.495,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.121,..,..,..,..,..,..,..,..,..,152369
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,CYP,2017,YR2017,0.577,2.068,2.846,4.93,0.724,0.65,0.416,0.697,0.279,0.08,0.254,0.228,0.146,0.245,0.098,0.028,1.74,1.56,1.68,0.67,0.19,0.515,1.846,2.541,0.095,0.34,0.468,0,0.1,0.1,0,0,0,1208523
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,CYP,2018,YR2018,..,..,2.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.571,..,..,..,..,..,0.1,..,..,0,1218831
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,CYP,2019,YR2019,..,..,2.947,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.631,..,..,..,..,..,0.3,..,..,0,1228836
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,CYP,2020,YR2020,..,..,2.991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.671,..,..,..,..,..,0.1,..,..,0,1237537
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,CYP,2021,YR2021,..,..,2.955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.638,..,..,..,..,..,0,..,..,0,1244188
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,CZE,2017,YR2017,0.441,2.361,2.899,6.57,0.693,0.757,0.297,0.7,0.377,0.076,0.239,0.261,0.102,0.241,0.13,0.026,2.33,2.55,2.36,1.27,0.26,0.394,2.108,2.588,0.058,0.313,0.384,0,0.1,0.2,0,0,0,10594438
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,CZE,2018,YR2018,..,..,2.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.608,..,..,..,..,..,0.1,..,..,0,10629928
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,CZE,2019,YR2019,..,..,3.025,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.701,..,..,..,..,..,0.2,..,..,0,10671870
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,CZE,2020,YR2020,..,..,3.003,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.681,..,..,..,..,..,0.1,..,..,0,10697858
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,CZE,2021,YR2021,..,..,2.985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.665,..,..,..,..,..,0.1,..,..,0,10505772
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,DNK,2017,YR2017,0.3,1.728,2.376,7.92,0.546,0.78,0.235,0.498,0.263,0.053,0.23,0.328,0.099,0.21,0.111,0.022,2.32,3.32,2.12,1.12,0.23,0.268,1.543,2.121,0.044,0.253,0.348,0.1,0.2,0.2,0,0,0,5764980
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,DNK,2018,YR2018,..,..,2.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.179,..,..,..,..,..,0.2,..,..,0,5793636
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,DNK,2019,YR2019,..,..,2.491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.224,..,..,..,..,..,0.4,..,..,0,5814422
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,DNK,2020,YR2020,..,..,2.508,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.239,..,..,..,..,..,0.3,..,..,0,5831404
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,DNK,2021,YR2021,..,..,2.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.232,..,..,..,..,..,0.2,..,..,0,5856733
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,DJI,2017,YR2017,0.616,2.459,2.797,4.54,0.556,0.529,0.449,0.988,0.165,0.111,0.199,0.189,0.161,0.353,0.059,0.04,1.24,1.18,2.2,0.37,0.25,0.55,2.196,2.497,0.257,1.026,1.167,5.6,59,65.8,0.1,0.6,0.7,1040233
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,DJI,2018,YR2018,..,..,2.866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.559,..,..,..,..,..,66.4,..,..,0.7,1057198
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,DJI,2019,YR2019,..,..,2.985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.665,..,..,..,..,..,65.2,..,..,0.7,1073994
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,DJI,2020,YR2020,..,..,3.112,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.779,..,..,..,..,..,66.7,..,..,0.7,1090156
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,DJI,2021,YR2021,..,..,3.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.902,..,..,..,..,..,65.3,..,..,0.7,1105557
Food Prices for Nutrition 2.0,FPN 2.0,Dominica,DMA,2017,YR2017,1.217,3.478,4,3.29,0.66,1.226,0.764,0.841,0.363,0.146,0.165,0.307,0.191,0.21,0.091,0.037,0.86,1.6,1.1,0.48,0.19,1.087,3.105,3.571,0.265,0.756,0.87,..,..,..,..,..,..,70403
Food Prices for Nutrition 2.0,FPN 2.0,Dominica,DMA,2018,YR2018,..,..,4.146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.702,..,..,..,..,..,..,..,..,..,70823
Food Prices for Nutrition 2.0,FPN 2.0,Dominica,DMA,2019,YR2019,..,..,4.236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.782,..,..,..,..,..,..,..,..,..,71428
Food Prices for Nutrition 2.0,FPN 2.0,Dominica,DMA,2020,YR2020,..,..,4.345,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.879,..,..,..,..,..,..,..,..,..,71995
Food Prices for Nutrition 2.0,FPN 2.0,Dominica,DMA,2021,YR2021,..,..,4.561,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.072,..,..,..,..,..,..,..,..,..,72412
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,DOM,2017,YR2017,1.181,2.876,3.521,2.98,0.534,0.865,0.681,0.898,0.362,0.181,0.152,0.246,0.193,0.255,0.103,0.051,0.78,1.27,1.32,0.53,0.27,1.054,2.568,3.144,0.152,0.371,0.455,1.3,15.8,24.9,0.1,1.7,2.6,10647244
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,DOM,2018,YR2018,..,..,3.608,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.221,..,..,..,..,..,21.7,..,..,2.3,10765531
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,DOM,2019,YR2019,..,..,3.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.343,..,..,..,..,..,20.6,..,..,2.2,10881882
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,DOM,2020,YR2020,..,..,3.884,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.468,..,..,..,..,..,25,..,..,2.7,10999664
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,DOM,2021,YR2021,..,..,4.128,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.686,..,..,..,..,..,25.8,..,..,2.9,11117873
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2017,YR2017,0.973,2.62,3.7,1.41221374045802,0.821,0.842,0.617,0.933,0.363,0.124,0.222,0.228,0.167,0.252,0.098,0.034,1.33,1.36,1.51,0.59,0.2,0.869,2.34,3.304,0.174,0.488,0.685,1.1,16.4,26.1,24.5,369.3,587.9,2288221317
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2018,YR2018,..,..,3.779,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.374,..,..,..,..,..,24.1,..,..,540.5,2278505178
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2019,YR2019,..,..,3.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.455,..,..,..,..,..,22.8,..,..,513.3,2290574843
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2020,YR2020,..,..,4.024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.593,..,..,..,..,..,25.6,..,..,580.7,2300278763
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,EAS,2021,YR2021,..,..,4.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.759,..,..,..,..,..,22.8,..,..,517.6,2306270268
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2017,YR2017,1.348,2.512,2.788,2.07,0.329,0.426,0.81,0.753,0.341,0.129,0.118,0.153,0.291,0.27,0.122,0.046,0.41,0.53,0.93,0.42,0.16,1.204,2.243,2.489,0.314,0.586,0.65,4.4,14.8,17.6,0.7,2.5,2.9,16696944
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2018,YR2018,..,..,2.816,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.514,..,..,..,..,..,18.3,..,..,3.1,17015672
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2019,YR2019,..,..,2.861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.554,..,..,..,..,..,19.8,..,..,3.4,17343740
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2020,YR2020,..,..,2.928,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.614,..,..,..,..,..,25.1,..,..,4.4,17588595
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,ECU,2021,YR2021,..,..,3.035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.71,..,..,..,..,..,19.7,..,..,3.5,17797737
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2017,YR2017,0.988,2.29,3.457,3.5,0.531,0.489,0.58,1.209,0.384,0.264,0.154,0.141,0.168,0.35,0.111,0.076,0.92,0.84,2.08,0.66,0.46,0.882,2.045,3.087,0.082,0.189,0.286,1,33.5,67.4,1,34.1,68.6,101789386
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.131,..,..,..,..,..,70.1,..,..,72.7,103740765
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,3.503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.128,..,..,..,..,..,67.2,..,..,70.9,105618671
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2020,YR2020,..,..,3.369,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.008,..,..,..,..,..,63.2,..,..,67.9,107465134
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",EGY,2021,YR2021,..,..,3.506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.13,..,..,..,..,..,61.6,..,..,67.3,109262178
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2017,YR2017,1.46,5.866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.304,5.238,..,0.271,1.089,..,..,..,..,..,..,..,6266654
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,El Salvador,SLV,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2017,YR2017,0.768,1.865,3.526,4.59,0.593,1.152,0.623,0.804,0.234,0.119,0.168,0.327,0.177,0.228,0.066,0.034,0.95,1.85,1.29,0.38,0.19,0.686,1.665,3.148,0.08,0.193,0.365,..,..,..,..,..,..,1450694
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2018,YR2018,..,..,3.599,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.213,..,..,..,..,..,..,..,..,..,1502091
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2019,YR2019,..,..,3.635,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.246,..,..,..,..,..,..,..,..,..,1553031
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2020,YR2020,..,..,3.676,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.282,..,..,..,..,..,..,..,..,..,1596049
Food Prices for Nutrition 2.0,FPN 2.0,Equatorial Guinea,GNQ,2021,YR2021,..,..,3.751,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.349,..,..,..,..,..,..,..,..,..,1634466
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2017,YR2017,0.418,2.554,3.125,7.48,0.742,0.542,0.333,0.752,0.671,0.085,0.237,0.173,0.107,0.241,0.215,0.027,2.23,1.63,2.26,2.02,0.26,0.373,2.28,2.79,0.05,0.304,0.372,0.2,0.8,1,0,0,0,1317384
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2018,YR2018,..,..,3.188,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.846,..,..,..,..,..,0.8,..,..,0,1321977
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2019,YR2019,..,..,3.284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.932,..,..,..,..,..,1.3,..,..,0,1326898
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2020,YR2020,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.991,..,..,..,..,..,1.1,..,..,0,1329522
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,EST,2021,YR2021,..,..,3.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.938,..,..,..,..,..,0.8,..,..,0,1330932
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2017,YR2017,0.931,2.244,3.428,3.68,0.524,0.766,0.506,1.136,0.342,0.154,0.153,0.223,0.148,0.331,0.1,0.045,1.04,1.51,2.25,0.68,0.3,0.831,2.004,3.061,0.153,0.368,0.562,26.6,64.4,77.1,0.3,0.7,0.9,1151390
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2018,YR2018,..,..,3.349,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.99,..,..,..,..,..,75.8,..,..,0.9,1160428
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2019,YR2019,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.031,..,..,..,..,..,75,..,..,0.9,1169613
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2020,YR2020,..,..,3.406,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.041,..,..,..,..,..,75.3,..,..,0.9,1180655
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,SWZ,2021,YR2021,..,..,3.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.158,..,..,..,..,..,73.8,..,..,0.9,1192271
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2017,YR2017,0.721,2.004,3.108,4.31,0.777,0.545,0.444,0.882,0.271,0.189,0.25,0.175,0.143,0.284,0.087,0.061,1.75,1.23,1.99,0.61,0.43,0.644,1.789,2.775,0.508,1.411,2.188,7.7,62.7,85.8,8.4,67.8,92.9,108197950
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2018,YR2018,..,..,3.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.81,..,..,..,..,..,84.1,..,..,93.4,111129438
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2019,YR2019,..,..,3.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.938,..,..,..,..,..,83.4,..,..,95.2,114120594
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2020,YR2020,..,..,3.407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.042,..,..,..,..,..,83.3,..,..,97.6,117190911
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,ETH,2021,YR2021,..,..,3.706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.309,..,..,..,..,..,83.8,..,..,100.8,120283026
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2017,YR2017,0.545,2.232,2.954,1.32347670250896,0.684,0.687,0.372,0.749,0.371,0.09,0.232,0.233,0.126,0.254,0.126,0.03,1.84,1.85,2.01,1,0.24,0.487,1.993,2.637,0.078,0.309,0.406,0.2,2,3.8,2,16.9,31.7,826577667
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2018,YR2018,..,..,3.017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.694,..,..,..,..,..,3.3,..,..,27.2,829040196
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2019,YR2019,..,..,3.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.786,..,..,..,..,..,3.4,..,..,28.3,830965742
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2020,YR2020,..,..,3.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.81,..,..,..,..,..,3.4,..,..,28.2,832392458
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,ECS,2021,YR2021,..,..,3.195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.853,..,..,..,..,..,3.1,..,..,25.4,832645095
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2017,YR2017,0.849,2.558,3.612,4.25,0.914,0.795,0.516,1.001,0.198,0.187,0.253,0.22,0.143,0.277,0.055,0.052,1.77,1.54,1.94,0.38,0.36,0.758,2.284,3.225,0.11,0.331,0.468,0.2,21.3,44.9,0,0.2,0.4,919019
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2018,YR2018,..,..,3.677,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.283,..,..,..,..,..,45.8,..,..,0.4,918996
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2019,YR2019,..,..,3.858,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.445,..,..,..,..,..,52.9,..,..,0.5,918465
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2020,YR2020,..,..,3.914,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.495,..,..,..,..,..,56.8,..,..,0.5,920422
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,FJI,2021,YR2021,..,..,4.358,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.891,..,..,..,..,..,63.7,..,..,0.6,924610
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2017,YR2017,0.28,2.465,2.545,9.09,0.597,0.727,0.195,0.543,0.407,0.077,0.235,0.286,0.077,0.213,0.16,0.03,3.06,3.73,2.78,2.09,0.39,0.25,2.201,2.272,0.039,0.347,0.358,0.1,0.1,0.1,0,0,0,5508214
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2018,YR2018,..,..,2.624,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.343,..,..,..,..,..,0.2,..,..,0,5515525
